AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,RISP,MH,OPS,
0.222,12,20,18,3,4,1,0,0,5,0,0,0,1,0,1,6,1,0.278,0.3,0,1,0.578,
0.198,39,110,96,10,19,5,0,2,30,9,0,3,11,1,0,20,0,0.313,0.273,0.111,4,0.586,
0.182,29,54,44,8,8,0,0,0,8,1,3,1,6,0,0,12,1,0.182,0.275,0.077,1,0.457,
0.2,7,29,25,1,5,2,0,0,7,5,0,1,3,0,0,5,0,0.28,0.276,0.429,2,0.556,
,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,
0.043,20,28,23,0,1,0,0,0,1,1,0,1,4,0,0,10,1,0.043,0.179,0,0,0.222,
0.255,43,176,157,15,40,7,0,7,68,23,0,1,17,1,1,29,5,0.433,0.33,0.268,10,0.763,
0.167,10,15,12,0,2,0,0,0,2,1,0,0,3,0,0,4,0,0.167,0.333,0,1,0.5,
0.258,47,143,120,15,31,4,1,0,37,10,4,1,18,0,0,34,1,0.308,0.353,0.296,7,0.661,
0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.2,9,5,5,2,1,0,0,0,1,0,0,0,0,0,0,2,0,0.2,0.2,0,0,0.4,
0.211,35,135,114,12,24,5,0,1,32,10,0,0,21,1,0,10,2,0.281,0.333,0.212,6,0.614,
0.27,61,264,222,33,60,13,0,8,97,25,0,3,38,2,1,45,6,0.437,0.375,0.286,14,0.812,
0.214,46,147,126,13,27,5,1,1,37,8,1,2,15,0,3,32,3,0.294,0.308,0.179,6,0.602,
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,
0.294,11,19,17,3,5,1,1,0,8,1,0,0,2,0,0,4,0,0.471,0.368,0,1,0.839,
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,
0.199,57,152,136,13,27,6,2,1,40,13,4,2,7,0,3,37,2,0.294,0.25,0.229,4,0.544,
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,
0,16,13,8,1,0,0,0,0,0,2,1,1,2,0,1,5,1,0,0.25,0,0,0.25,
0.311,32,135,119,20,37,7,3,9,77,31,0,0,13,0,3,22,1,0.647,0.393,0.324,9,1.04,
0.211,28,67,57,9,12,3,0,0,15,6,4,0,4,0,2,15,1,0.263,0.286,0.222,2,0.549,
